Overall,Name,School Team,Bib No,Time,Penalty
118,Bing Lin,UC Santa Barbara,322,2:33:26,
119,Andre Gu,Stanford University,70,2:34:56,
120,Austin Liu,UCLA,386,2:34:59,
121,Stephen Liaskos,USC,385,2:35:40,
122,Cayden Baldwin,UC Berkeley,199,2:37:21,
123,Yuchen Li,Stanford University,59,2:37:21,
124,Grant Wilkins,Stanford University,223,2:37:28,
125,Matt Brow,USC,373,2:37:53,
126,Blake Courtney,USC,212,2:38:07,
127,Jeremi Nuer,UC Santa Barbara,263,2:39:06,
128,Beloved Maina,UC Santa Barbara,383,2:40:31,
129,Kajetan Wysoczynski,UC Davis,17,2:41:21,
130,Joey Hall,Cal Poly SLO,28,2:41:25,
131,Gabriel Sakoda,USC,218,2:42:00,
132,Jack Cornwall,Cal Poly SLO,285,2:42:03,
133,Crisostomo Dunn,UC Berkeley,141,2:42:10,
134,Malo Raballand,UC Berkeley,178,2:42:28,
135,Nicholas Poon,UC San Diego,137,2:43:22,
136,Kristof Balasanian,NA,160,2:43:56,
137,Sebi Perry,UC Santa Cruz,384,2:44:01,
138,Lucas Angier,UCLA,264,2:44:48,
139,Christian Lee,UC Santa Barbara,363,2:45:43,
140,Waleed Alzarooni,UCLA,190,2:47:51,
141,Matthew Musson,Stanford University,174,2:48:01,
142,Evan Cheng,Stanford University,82,2:48:12,
143,Riley Samuels,UC San Diego,275,2:48:46,
144,Evan Figueroa,UC Santa Barbara,371,2:48:59,
145,Blake Miller,UNLV,221,2:53:11,
146,Andrew Harper,Cal Poly SLO,132,2:54:14,
147,Matthew Fletcher,Cal Poly SLO,148,2:56:09,
148,Curtis Hu,UC Berkeley,196,2:56:38,
149,Santiago Ramirez,UC Berkeley,200,2:57:54,
150,Ethan Adams,NA,158,2:58:30,
151,Matias Urena,NA,166,2:59:52,
152,Daniel Ascencio,NA,400,3:05:10,
153,Luke Lopez,UC Santa Barbara,310,3:14:57,
154,Carter Soe,Claremont Colleges,56,3:24:08,
155,Rocky Kemper,NA,162,3:40:16,
